County,Date,Cases
Alamance,4/4/20,1
Alamance,4/3/20,2
Alamance,4/2/20,4
Alamance,3/31/20,2
Alamance,3/30/20,1
Alamance,3/29/20,1
Alamance,3/27/20,1
Alamance,3/26/20,1
Alamance,3/23/20,1
Alamance,3/21/20,1
Alamance,3/20/20,1
Alexander,3/31/20,1
Alexander,3/28/20,1
Alleghany,3/30/20,1
Alleghany,3/27/20,1
Anson,4/3/20,2
Anson,3/31/20,1
Ashe,4/3/20,1
Beaufort,4/3/20,1
Beaufort,4/1/20,4
Beaufort,3/31/20,1
Beaufort,3/26/20,3
Bertie,4/4/20,1
Bertie,3/30/20,3
Bertie,3/24/20,3
Bladen,4/2/20,1
Brunswick,4/2/20,1
Brunswick,4/1/20,8
Brunswick,3/31/20,1
Brunswick,3/30/20,1
Brunswick,3/28/20,1
Brunswick,3/26/20,1
Brunswick,3/24/20,2
Brunswick,3/23/20,1
Brunswick,3/22/20,1
Brunswick,3/21/20,2
Brunswick,3/20/20,3
Brunswick,3/14/20,1
Buncombe,4/2/20,10
Buncombe,3/30/20,2
Buncombe,3/29/20,2
Buncombe,3/27/20,3
Buncombe,3/26/20,1
Buncombe,3/25/20,1
Buncombe,3/24/20,4
Buncombe,3/23/20,5
Buncombe,3/22/20,2
Buncombe,3/21/20,1
Burke,4/3/20,4
Burke,4/2/20,1
Burke,4/1/20,2
Burke,3/31/20,1
Burke,3/30/20,1
Burke,3/29/20,1
Burke,3/28/20,2
Burke,3/24/20,1
Cabarrus,4/4/20,7
Cabarrus,4/3/20,1
Cabarrus,4/2/20,5
Cabarrus,4/1/20,5
Cabarrus,3/31/20,9
Cabarrus,3/30/20,9
Cabarrus,3/29/20,6
Cabarrus,3/28/20,2
Cabarrus,3/27/20,5
Cabarrus,3/25/20,4
Cabarrus,3/24/20,6
Cabarrus,3/21/20,1
Cabarrus,3/20/20,4
Cabarrus,3/12/20,1
Caldwell,4/3/20,2
Caldwell,3/25/20,2
Caldwell,3/24/20,1
Carteret,4/3/20,1
Carteret,4/1/20,3
Carteret,3/31/20,2
Carteret,3/30/20,3
Carteret,3/28/20,1
Carteret,3/27/20,1
Carteret,3/21/20,3
Carteret,3/20/20,2
Caswell,3/29/20,1
Catawba,4/3/20,4
Catawba,3/31/20,2
Catawba,3/29/20,2
Catawba,3/28/20,2
Catawba,3/27/20,1
Catawba,3/26/20,5
Catawba,3/23/20,3
Catawba,3/20/20,1
Chatham,4/4/20,2
Chatham,4/2/20,2
Chatham,4/1/20,1
Chatham,3/31/20,2
Chatham,3/30/20,1
Chatham,3/29/20,1
Chatham,3/28/20,1
Chatham,3/27/20,2
Chatham,3/26/20,3
Chatham,3/25/20,3
Chatham,3/17/20,2
Chatham,3/6/20,1
Cherokee,3/31/20,2
Cherokee,3/30/20,1
Cherokee,3/29/20,2
Cherokee,3/22/20,1
Cherokee,3/20/20,3
Chowan,4/3/20,1
Clay,4/1/20,1
Clay,3/31/20,2
Cleveland,4/4/20,2
Cleveland,4/3/20,4
Cleveland,4/2/20,3
Cleveland,3/31/20,1
Cleveland,3/29/20,1
Cleveland,3/28/20,2
Cleveland,3/25/20,2
Columbus,4/3/20,1
Columbus,4/2/20,1
Columbus,3/29/20,1
Columbus,3/28/20,2
Craven,4/3/20,3
Craven,4/2/20,4
Craven,3/31/20,1
Craven,3/29/20,1
Craven,3/28/20,1
